chr10_1004;chr19_957
chr2_1895;chr1_229
chr2_1895;chr1_230
chr21_896;chr16_1276
chr21_899;chr16_3040
chr2_1899;chr2_1925
chr21_8;chr10_4323
chr21_900;chr16_1285
chr2_1900;chr2_3374
chr21_901;chr16_2528
chr21_902;chr16_2084
chr21_906;chr17_617
chr21_907;chr17_1611
chr21_912;chr16_1208
chr2_1914;chr2_966
chr2_1916;chr2_5408
chr2_1918;chr1_380
chr2_1919;chr1_2288
chr2_1919;chr1_2815
chr21_91;chr16_1478
chr2_1920;chr1_4659
chr21_923;chr17_1603
chr2_1924;chr1_2319
chr2_1925;chr1_6678
chr21_925;chr17_2395
chr21_925;chr17_3677
chr21_928;chr17_1800
chr21_928;chr17_1801
chr21_92;chr16_1128
chr2_1931;chr1_6970
chr2_1932;chr1_3728
chr21_937;chr10_4659
chr2_193;chr10_498
chr21_93;chr16_1129
chr21_942;chr16_1680
chr21_943;chr16_1680
chr2_1948;chr12_4148
chr21_94;chr16_1160
chr21_950;chr16_2059
chr21_951;chr16_1699
chr21_952;chr16_1181
chr21_958;chr16_1278
chr2_1959;chr12_2380
chr2_1960;chr12_1378
chr21_962;chr16_3517
chr21_963;chr16_1717
chr21_96;chr16_1166
chr21_973;chr17_3541
chr21_977;chr10_2715
chr21_978;chr10_799
chr2_1978;chr12_1355
chr2_197;chr2_5914
chr2_1980;chr12_1354
chr2_198;chr2_5183
chr2_1996;chr12_3801
chr21_99;chr16_1210
chr2_199;chr2_5183
chr21_9;chr10_811
chr21_9;chr10_812
chr2_2007;chr5_3805
chr2_2011;chr17_4156
chr2_2013;chr17_2804
chr2_2014;chr17_1249
chr2_2019;chr17_1331
chr2_201;chr2_6148
chr2_2022;chr17_1696
chr2_2024;chr17_1355
chr2_2028;chr17_4219
chr2_202;chr2_6149
chr2_2041;chr11_3623
chr2_2043;chr11_4453
chr2_2044;chr11_363
chr2_2049;chr11_6296
chr2_2058;chr11_2350
chr2_205;chr1_4828
chr2_2072;chr6_2769
chr2_207;chr1_4507
chr2_2085;chr6_4027
chr2_2091;chr6_5201
chr2_2099;chr1_2722
chr22_100;chr8_906
chr22_1015;chr15_2350
chr22_1016;chr15_1001
chr22_1017;chr15_2086
chr2_2101;chr10_1682
chr2_2101;chr10_1685
chr2_2101;chr10_1686
chr22_101;chr15_982
chr22_1022;chr15_2364
chr22_1023;chr15_2358
chr22_1025;chr15_2701
chr22_1028;chr15_1027
chr22_1029;chr15_1028
chr22_102;chr15_991
chr22_1035;chr15_1048
chr22_1039;chr15_3069
chr22_103;chr15_991
chr22_1040;chr15_1061
chr22_1042;chr15_2188
chr22_104;chr15_2091
chr22_104;chr15_2093
chr22_1052;chr15_2429
chr22_1056;chr15_3650
chr22_1058;chr15_2433
chr22_106;chr15_1949
chr22_10;chr16_241
chr22_1101;chr11_60
chr22_1102;chr11_3536
chr22_1104;chr15_2357
chr22_1105;chr15_1014
chr22_1112;chr15_1696
chr22_1116;chr15_2430
chr22_1122;chr6_1866
chr22_1123;chr6_1867
chr22_1125;chr16_2151
chr22_1128;chr16_2372
chr22_1129;chr16_2372
chr22_1130;chr16_2149
chr22_1132;chr16_266
chr22_1138;chr16_3286
chr22_113;chr15_3913
chr22_1140;chr16_216
chr22_1143;chr11_4553
chr22_1153;chr11_4400
chr22_1157;chr11_12
chr22_1158;chr11_17
chr22_1158;chr8_3146
chr22_1162;chr15_1048
chr22_1165;chr15_1067
chr22_1173;chr15_3922
chr22_1182;chr6_1867
chr22_1183;chr6_3839
chr22_1184;chr6_1867
chr22_118;chr15_1119
chr22_118;chr15_2710
chr22_1192;chr10_3251
chr22_1195;chr10_3924
chr22_11;chr16_252
chr22_1206;chr15_3633
chr22_1207;chr15_3632
chr22_1214;chr15_1008
chr22_1218;chr6_1908
chr22_1223;chr15_3094
chr22_1229;chr15_1750
chr22_1230;chr15_2491
chr22_1230;chr15_4226
chr22_1235;chr16_219
chr22_1241;chr11_106
chr22_1243;chr11_86
chr22_1247;chr15_3635
chr22_124;chr15_1132
chr22_1250;chr15_3915
chr22_1251;chr15_2101
chr22_1253;chr15_2606
chr2_2125;chr1_4292
chr22_1265;chr16_256
chr22_1275;chr16_2597
chr22_1279;chr10_729
chr22_1280;chr10_2695
chr22_1281;chr10_734
chr22_1282;chr10_724
chr22_1282;chr10_734
chr22_1283;chr10_2696
chr22_1284;chr10_727
chr22_1285;chr10_751
chr22_1286;chr10_754
chr22_1289;chr5_4408
chr22_1290;chr5_4408
chr22_1293;chr5_4416
chr22_1297;chr5_4897
chr22_1298;chr5_4897
chr22_1300;chr5_6066
chr22_1302;chr5_4408
chr22_130;chr15_1719
chr22_130;chr15_1723
chr22_1314;chr11_3555
chr22_1316;chr11_3559
chr22_131;chr15_2442
chr22_131;chr15_2443
chr22_1320;chr11_3549
chr22_1323;chr11_3541
chr22_1331;chr11_5317
chr22_1332;chr11_30
chr22_1339;chr10_3972
chr22_1340;chr10_3612
chr22_1345;chr10_937
chr22_1346;chr15_4090
chr22_1347;chr15_963
chr22_1347;chr2_2255
chr22_1350;chr15_992
chr22_1356;chr15_1928
chr22_1356;chr15_2345
chr22_135;chr15_4302
chr22_1362;chr15_2704
chr22_1363;chr15_2704
chr22_1365;chr15_2702
chr22_1366;chr15_1045
chr22_1369;chr15_1043
chr22_1372;chr15_2094
chr22_1373;chr15_1053
chr22_1374;chr15_2095
chr22_1376;chr15_1072
chr22_137;chr15_1188
chr22_1385;chr15_1079
chr2_2138;chr1_4283
chr22_138;chr15_1189
chr2_2138;chr1_5662
chr22_1395;chr15_2417
chr22_1398;chr15_1098
chr2_2139;chr1_3032
chr22_139;chr15_1191
chr22_1400;chr15_3387
chr22_1401;chr15_3716
chr22_1415;chr15_1162
chr22_1417;chr15_1138
chr22_1418;chr15_1153
chr22_1418;chr15_1154
chr22_141;chr15_4108
chr22_1424;chr15_2717
chr22_1427;chr15_3937
chr22_142;chr15_4109
chr22_1434;chr15_4106
chr22_1436;chr15_1178
chr22_1439;chr15_1182
chr22_143;chr15_1207
chr22_1443;chr15_3111
chr22_1448;chr15_1742
chr22_144;chr15_1201
chr22_1450;chr15_4303
chr22_1451;chr15_2832
chr22_1454;chr15_2129
chr22_145;chr15_1215
chr22_1466;chr15_3412
chr22_1468;chr15_1234
chr22_1480;chr11_2813
chr22_1492;chr15_3912
chr22_1495;chr15_2413
chr22_1496;chr16_3380
chr22_1497;chr10_2697
chr22_149;chr15_2129
chr22_1513;chr8_899
chr22_1515;chr15_2087
chr22_1520;chr15_4227
chr2_2152;chr1_2258
chr22_1537;chr5_2961
chr22_1538;chr5_4892
chr22_153;chr6_5309
chr22_1548;chr15_2604
chr22_1554;chr11_101
chr22_1555;chr5_3740
chr22_1558;chr15_3721
chr22_1559;chr15_3721
chr22_1560;chr15_1745
chr22_1562;chr6_2576
chr22_1566;chr10_728
chr22_1568;chr11_5935
chr2_2156;chr1_1175
chr22_1570;chr11_55
chr22_1571;chr11_2817
chr22_1572;chr11_3446
chr22_1574;chr11_2808
chr22_1582;chr15_3067
chr22_1583;chr15_1953
chr22_1590;chr15_1100
chr22_1592;chr15_2829
chr22_1594;chr6_3550
chr22_1594;chr6_4949
chr2_2159;chr1_3052
chr22_159;chr16_1392
chr22_15;chr16_220
chr22_1602;chr10_3540
chr22_1604;chr2_4312
chr22_1605;chr10_3926
chr22_1607;chr10_746
chr22_1609;chr11_3563
chr22_160;chr16_1561
chr22_160;chr16_1562
chr22_1610;chr11_2330
chr22_1611;chr11_2330
chr22_1611;chr11_3562
chr22_1614;chr11_4843
chr22_1617;chr11_25
chr22_1618;chr11_6
chr22_1619;chr11_7
chr22_161;chr16_1392
chr22_1620;chr8_908
chr22_1621;chr8_910
chr22_1622;chr8_4223
chr22_1623;chr8_3463
chr22_1625;chr15_1928
chr22_1625;chr15_1929
chr22_1630;chr15_1047
chr22_1630;chr15_2185
chr22_1633;chr15_3909
chr22_1634;chr15_3645
chr22_1640;chr15_3659
chr22_164;chr16_1909
chr22_1651;chr15_2490
chr22_1656;chr15_2506
chr22_1658;chr15_2501
chr22_1660;chr15_3949
chr22_1661;chr15_2503
chr22_1662;chr15_1754
chr22_1663;chr6_1890
chr22_1665;chr6_1893
chr22_1666;chr16_1564
chr22_166;chr16_1392
chr22_1675;chr10_2147
chr22_1681;chr11_2331
chr22_1683;chr11_5930
chr22_1683;chr11_5931
chr22_1687;chr11_63
chr22_1688;chr11_63
chr2_2168;chr2_780
chr22_1690;chr11_4839
chr22_1695;chr10_4449
chr22_1697;chr8_2598
chr22_1697;chr8_902
chr2_2169;chr2_7336
chr22_16;chr10_751
chr22_1701;chr15_3896
chr22_1702;chr15_994
chr22_1706;chr15_1953
chr22_1712;chr15_3396
chr22_1714;chr15_1182
chr22_171;chr10_751
chr22_1720;chr15_1249
chr22_172;chr2_3489
chr22_173;chr10_2150
chr22_175;chr10_760
chr2_2175;chr2_4459
chr22_177;chr10_1846
chr22_17;chr11_4361
chr22_180;chr10_3546
chr2_2182;chr2_2984
chr22_182;chr5_1255
chr2_2183;chr2_4485
chr22_184;chr11_108
chr22_184;chr11_2834
chr22_189;chr11_2818
chr22_18;chr11_91
chr22_190;chr11_2821
chr22_190;chr11_2822
chr22_191;chr11_2816
chr22_191;chr11_3548
chr22_192;chr11_3538
chr22_193;chr11_41
chr22_199;chr11_24
chr22_19;chr11_4842
chr2_219;chr1_5967
chr22_201;chr10_3966
chr22_203;chr8_4223
chr22_204;chr8_909
chr22_206;chr15_989
chr2_2206;chr2_1023
chr22_208;chr15_990
chr2_2208;chr2_6286
chr22_209;chr15_987
chr22_210;chr15_3632
chr2_2211;chr2_8295
chr22_212;chr15_2088
chr2_2212;chr2_8296
chr22_213;chr15_1934
chr22_214;chr15_1936
chr22_215;chr15_2182
chr2_2216;chr2_5115
chr22_218;chr15_2360
chr22_21;chr11_53
chr22_220;chr15_2362
chr22_221;chr15_1029
chr22_222;chr15_1007
chr22_223;chr15_1013
chr22_224;chr15_1023
chr22_227;chr15_1035
chr22_228;chr15_3373
chr22_229;chr15_3642
chr22_22;chr11_26
chr22_233;chr15_1947
chr22_235;chr15_1049
chr22_236;chr15_1690
chr22_236;chr15_1946
chr22_237;chr15_1054
chr22_237;chr15_3068
chr22_238;chr15_3068
chr22_240;chr15_1947
chr22_243;chr15_2393
chr22_243;chr15_2394
chr22_245;chr15_1947
chr22_246;chr15_1069
chr22_247;chr15_2404
chr22_24;chr8_910
chr22_256;chr15_1105
chr22_257;chr15_1105
chr22_257;chr15_1106
chr22_258;chr15_1109
chr2_2259;chr1_4675
chr22_260;chr15_2709
chr22_264;chr15_2422
chr22_264;chr15_2423
chr22_266;chr15_1118
chr22_268;chr15_1149
chr22_269;chr15_1148
chr22_26;chr15_2347
chr22_26;chr15_981
chr22_270;chr15_1148
chr22_274;chr15_1974
chr22_275;chr15_2194
chr22_287;chr15_3942
chr22_288;chr15_1196
chr22_289;chr15_3406
chr22_28;chr15_1949
chr2_2290;chr1_4475
chr22_291;chr15_3117
chr22_298;chr15_2474
chr22_301;chr15_4226
chr22_301;chr15_4227
chr2_2306;chr1_2920
chr22_306;chr16_243
chr22_306;chr16_244
chr2_2307;chr1_3739
chr22_308;chr16_243
chr22_30;chr15_1089
chr22_310;chr16_1520
chr22_311;chr16_3001
chr2_2312;chr1_4221
chr22_312;chr16_1402
chr22_313;chr16_277
chr2_2314;chr1_3737
chr22_314;chr16_281
chr22_315;chr16_3288
chr2_2316;chr1_3736
chr22_31;chr15_1125
chr22_321;chr16_1396
chr22_323;chr16_1923
chr22_323;chr16_1928
chr22_325;chr10_761
chr22_327;chr10_760
chr22_32;chr15_3098
chr22_332;chr11_94
chr2_2332;chr1_2970
chr22_333;chr11_3561
chr2_2335;chr1_6196
chr22_340;chr11_5927
chr22_341;chr11_3547
chr22_342;chr11_54
chr22_344;chr11_47
chr22_347;chr11_13
chr22_348;chr11_5
chr2_2351;chr1_2990
chr22_353;chr15_2359
chr22_356;chr15_2363
chr22_357;chr15_1018
chr22_358;chr15_3375
chr2_2359;chr1_3804
chr22_359;chr15_1057
chr22_360;chr15_1047
chr22_361;chr15_1052
chr22_362;chr15_1046
chr2_2362;chr1_6222
chr2_2365;chr1_7095
chr22_366;chr15_1108
chr22_367;chr15_1104
chr22_369;chr15_2421
chr22_370;chr15_2424
chr22_373;chr15_1149
chr2_2378;chr12_204
chr22_378;chr15_3091
chr22_383;chr15_3403
chr2_2384;chr12_3485
chr22_384;chr15_1197
chr22_385;chr15_1194
chr22_386;chr15_3112
chr22_387;chr15_2123
chr2_2391;chr12_3270
chr22_391;chr15_2477
chr22_392;chr15_1243
chr2_2393;chr12_1639
chr22_393;chr15_1231
chr22_394;chr15_2476
chr22_395;chr15_2487
chr22_398;chr15_1752
chr2_2398;chr5_6221
chr22_399;chr15_1751
chr22_39;chr6_3473
chr22_400;chr15_1237
chr2_2402;chr5_4207
chr22_404;chr15_3663
chr2_2404;chr17_4328
chr22_405;chr15_1753
chr2_2406;chr17_3178
chr2_2407;chr17_1224
chr22_40;chr6_5312
chr22_414;chr6_3070
chr22_416;chr6_1878
chr2_2417;chr17_3728
chr22_418;chr6_3070
chr22_420;chr6_2857
chr22_426;chr6_1881
chr22_427;chr6_1881
chr2_2429;chr17_3235
chr22_429;chr6_3476
chr22_42;chr6_3069
chr2_2430;chr17_3502
chr2_2433;chr17_1934
chr22_433;chr6_3472
chr22_434;chr6_1893
chr22_438;chr16_252
chr22_439;chr16_255
chr22_440;chr16_255
chr22_441;chr16_257
chr22_442;chr16_1923
chr22_446;chr11_1363
chr22_452;chr16_2150
chr2_2452;chr6_1111
chr22_454;chr16_2235
chr2_2460;chr6_4451
chr22_466;chr16_269
chr22_466;chr16_270
chr22_467;chr16_269
chr22_470;chr16_261
chr2_2471;chr1_4638
chr22_471;chr16_260
chr2_2472;chr1_7141
chr22_473;chr16_1923
chr2_2473;chr1_7112
chr2_2477;chr1_2435
chr22_486;chr16_1904
chr22_487;chr16_1903
chr22_488;chr16_1822
chr22_488;chr16_1901
chr22_489;chr16_1822
chr2_2489;chr2_821
chr22_490;chr16_2923
chr22_491;chr16_1392
chr2_2492;chr2_4437
chr22_495;chr16_3088
chr2_2495;chr2_4441
chr22_498;chr16_248
chr2_2498;chr2_3959
chr22_499;chr16_230
chr22_500;chr16_1397
chr22_501;chr16_3542
chr2_2507;chr2_7802
chr2_2509;chr2_5678
chr22_510;chr16_1395
chr22_512;chr16_236
chr22_513;chr16_3428
chr22_515;chr16_217
chr2_251;chr1_6295
chr22_51;chr16_295
chr22_520;chr16_223
chr22_522;chr16_213
chr2_2523;chr2_6328
chr22_524;chr10_3540
chr22_527;chr10_4442
chr22_528;chr10_4442
chr2_252;chr2_227
chr2_2531;chr1_6656
chr22_537;chr10_731
chr2_253;chr2_773
chr22_540;chr10_3548
chr22_542;chr5_4413
chr22_543;chr19_14
chr2_2544;chr1_464
chr22_544;chr19_17
chr22_549;chr5_2302
chr22_550;chr5_5303
chr2_2551;chr1_7090
chr22_556;chr5_2300
chr22_559;chr11_98
chr22_55;chr10_2977
chr22_562;chr11_2832
chr22_563;chr11_100
chr2_2563;chr1_2930
chr2_2565;chr1_4477
chr22_567;chr11_91
chr22_569;chr11_2329
chr2_256;chr2_2956
chr2_2570;chr1_5214
chr2_2570;chr1_5215
chr22_571;chr11_85
chr22_572;chr11_66
chr2_2572;chr1_2969
chr2_2573;chr1_3769
chr22_575;chr11_6108
chr2_2575;chr1_875
chr22_577;chr11_55
chr22_578;chr11_4841
chr22_581;chr11_2823
chr22_583;chr11_50
chr22_584;chr11_66
chr22_584;chr11_67
chr2_2584;chr12_1383
chr2_2586;chr12_1687
chr2_2587;chr12_2646
chr22_588;chr11_3539
chr22_589;chr11_2811
chr22_590;chr11_14
chr22_590;chr11_15
chr22_591;chr11_4
chr22_592;chr11_6
chr22_593;chr11_10
chr22_593;chr11_11
chr2_2594;chr12_153
chr2_2597;chr12_120
chr22_598;chr10_3267
chr22_599;chr10_3267
chr22_600;chr10_1068
chr22_602;chr10_1075
chr22_604;chr10_1878
chr22_604;chr10_3970
chr22_609;chr10_4450
chr22_612;chr10_3976
chr2_2612;chr12_3803
chr22_616;chr10_4450
chr2_2617;chr12_2031
chr2_2618;chr5_4647
chr22_619;chr8_3826
chr22_620;chr8_3245
chr2_2622;chr5_6218
chr22_623;chr8_3465
chr2_2624;chr5_4651
chr2_2625;chr5_322
chr22_628;chr15_1810
chr2_2628;chr5_6222
chr22_629;chr15_971
chr22_635;chr15_988
chr22_639;chr15_1929
chr22_640;chr15_2179
chr22_641;chr15_1674
chr22_642;chr15_1674
chr2_2642;chr17_4235
chr22_643;chr15_997
chr2_2645;chr11_5953
chr22_645;chr15_984
chr22_647;chr15_2694
chr22_648;chr15_2695
chr2_2649;chr11_4450
chr22_649;chr15_2691
chr22_653;chr15_1000
chr22_657;chr15_3902
chr22_658;chr15_1680
chr22_659;chr15_1681
chr22_660;chr15_2089
chr2_2662;chr11_7087
chr22_662;chr15_1005
chr22_665;chr15_1678
chr22_666;chr15_3059
chr22_669;chr15_2698
chr22_672;chr15_1941
chr22_673;chr15_1032
chr22_673;chr15_1034
chr2_2673;chr6_3321
chr22_674;chr15_1678
chr22_675;chr15_1684
chr22_676;chr15_3641
chr22_677;chr15_1008
chr2_267;chr2_4486
chr22_680;chr15_1010
chr22_681;chr15_1011
chr2_2681;chr2_5906
chr2_2681;chr2_5907
chr22_682;chr15_2361
chr22_683;chr15_1012
chr2_2684;chr1_2263
chr2_2685;chr1_2727
chr22_685;chr15_1026
chr2_268;chr2_3962
chr2_2693;chr1_240
chr22_693;chr15_1025
chr22_695;chr15_2370
chr22_696;chr15_3065
chr2_2701;chr2_5184
chr22_704;chr15_1945
chr2_2704;chr19_1813
chr22_705;chr15_3063
chr22_707;chr15_3067
chr22_708;chr15_4096
chr22_709;chr15_1687
chr22_710;chr15_1041
chr22_712;chr15_2372
chr22_714;chr15_2373
chr2_2714;chr16_1822
chr2_2715;chr1_2704
chr22_715;chr15_1056
chr2_2716;chr16_1910
chr22_718;chr15_2384
chr2_2719;chr4_2047
chr22_722;chr15_3070
chr22_726;chr15_1951
chr22_726;chr15_2096
chr22_727;chr15_2396
chr22_730;chr15_1070
chr22_731;chr15_1068
chr22_732;chr15_2188
chr22_734;chr15_2403
chr2_2735;chr2_4483
chr22_736;chr15_1074
chr2_2736;chr2_5670
chr2_2743;chr2_1011
chr22_744;chr15_1077
chr2_2744;chr2_1010
chr2_2745;chr2_6277
chr2_2745;chr2_8216
chr2_2750;chr2_3602
chr22_754;chr15_2408
chr22_756;chr15_3075
chr22_761;chr15_1095
chr22_764;chr15_1099
chr22_766;chr15_1101
chr22_767;chr15_2412
chr22_768;chr15_1094
chr2_2768;chr2_4498
chr22_770;chr15_1101
chr2_2770;chr2_3970
chr22_772;chr15_1123
chr2_2775;chr2_3616
chr2_2778;chr2_7413
chr22_779;chr15_3080
chr22_77;chr11_104
chr2_277;chr2_6297
chr22_780;chr15_1708
chr22_780;chr15_1709
chr22_781;chr15_1131
chr22_782;chr15_1136
chr2_2783;chr2_6943
chr22_789;chr15_3087
chr22_78;chr11_2335
chr22_795;chr15_1151
chr22_797;chr15_1154
chr22_79;chr11_110
chr22_800;chr15_1159
chr2_2800;chr1_573
chr22_802;chr15_2712
chr22_805;chr15_1155
chr22_810;chr15_2443
chr22_810;chr15_2444
chr2_2811;chr1_6681
chr22_811;chr2_2437
chr2_2813;chr1_2909
chr2_2815;chr1_2928
chr2_2816;chr1_2939
chr22_816;chr15_1177
chr2_2816;chr1_701
chr22_818;chr15_1728
chr22_818;chr15_2449
chr2_2818;chr1_691
chr2_2819;chr1_3742
chr22_821;chr15_1173
chr2_2824;chr1_2370
chr22_829;chr15_1184
chr22_82;chr11_2328
chr2_282;chr2_1135
chr2_2830;chr5_4372
chr22_831;chr15_3111
chr22_835;chr15_1738
chr2_2837;chr12_168
chr22_837;chr15_1732
chr22_839;chr15_1975
chr2_283;chr2_1136
chr22_841;chr15_2452
chr22_841;chr15_2720
chr2_2844;chr12_3268
chr22_844;chr15_3407
chr22_845;chr15_1204
chr22_847;chr15_1741
chr2_284;chr2_1141
chr2_2852;chr5_4207
chr2_2852;chr5_4208
chr22_855;chr15_1202
chr22_85;chr11_83
chr2_285;chr2_3042
chr22_861;chr15_2462
chr22_864;chr15_1216
chr22_865;chr15_2126
chr2_2869;chr6_953
chr22_86;chr11_83
chr2_286;chr2_5754
chr22_870;chr15_1979
chr22_871;chr15_1212
chr2_2871;chr6_3298
chr22_872;chr15_2453
chr2_2873;chr6_875
chr2_2876;chr1_2769
chr2_2877;chr1_215
chr2_2877;chr1_2782
chr22_877;chr15_2468
chr22_87;chr11_80
chr2_287;chr2_1161
chr22_880;chr15_1238
chr2_2880;chr2_7587
chr2_2881;chr2_7588
chr22_882;chr15_1221
chr2_2885;chr2_3374
chr22_886;chr15_1242
chr2_2887;chr19_1814
chr2_288;chr2_1159
chr2_288;chr2_1160
chr22_890;chr15_1247
chr22_891;chr15_2500
chr22_893;chr15_2505
chr2_2893;chr18_949
chr2_2894;chr18_225
chr2_2896;chr2_2972
chr22_898;chr10_2151
chr22_898;chr10_761
chr2_2898;chr2_3571
chr2_289;chr2_4519
chr22_901;chr10_2700
chr22_905;chr5_2323
chr2_2908;chr2_7838
chr22_909;chr11_3538
chr22_909;chr11_3544
chr22_912;chr11_7
chr22_913;chr11_23
chr2_2913;chr1_6919
chr22_915;chr8_907
chr2_2919;chr1_4709
chr2_291;chr2_1202
chr2_291;chr2_1203
chr2_2920;chr1_2906
chr2_2921;chr1_2907
chr22_921;chr15_1015
chr22_921;chr15_2367
chr22_922;chr15_1022
chr22_923;chr15_1020
chr2_2924;chr1_4216
chr22_924;chr15_2365
chr2_2925;chr1_3762
chr22_925;chr15_2370
chr22_926;chr15_3373
chr22_92;chr5_5391
chr22_930;chr15_1161
chr2_2932;chr11_6122
chr22_934;chr15_2446
chr22_936;chr15_1179
chr2_2936;chr2_3040
chr22_937;chr15_2122
chr2_293;chr1_339
chr2_2940;chr1_568
chr2_2941;chr12_3287
chr22_943;chr15_1754
chr2_2945;chr12_4093
chr2_2947;chr12_3134
chr2_294;chr1_378
chr22_950;chr6_5307
chr2_2951;chr15_4278
chr22_958;chr8_1296
chr22_963;chr16_1909
chr22_965;chr10_735
chr22_970;chr10_3546
chr22_976;chr5_6300
chr2_2979;chr11_6326
chr22_97;chr10_3611
chr2_2980;chr11_3455
chr2_2984;chr11_7204
chr22_984;chr5_2312
chr22_987;chr5_3388
chr22_992;chr11_4847
chr2_2992;chr6_1004
chr22_996;chr11_4840
chr22_996;chr11_6107
chr22_998;chr11_28
chr2_2998;chr6_4912
chr2_299;chr1_2810
chr2_299;chr1_2816
chr2_3001;chr6_3128
chr2_3013;chr1_198
chr2_3015;chr1_2784
chr2_3029;chr16_1822
chr2_3038;chr1_6768
chr2_3040;chr1_6769
chr2_3054;chr2_3014
chr2_3064;chr2_1148
chr2_3080;chr1_2900
chr2_3086;chr1_4685
chr2_308;chr1_452
chr2_3091;chr1_722
chr2_310;chr1_5156
chr2_3110;chr1_998
chr2_3116;chr12_248
chr2_3117;chr12_244
chr2_3118;chr12_246
chr2_311;chr1_460
chr2_311;chr1_461
chr2_3124;chr12_1394
chr2_3126;chr12_3286
chr2_3128;chr12_2064
chr2_3148;chr12_185
chr2_314;chr1_485
chr2_3151;chr12_1363
chr2_3162;chr12_149
chr2_3166;chr12_2615
chr2_3167;chr12_2523
chr2_3168;chr12_2409
chr2_3168;chr12_2611
chr2_3175;chr12_2049
chr2_317;chr1_490
chr2_3180;chr12_107
chr2_3181;chr12_92
chr2_3182;chr12_95
chr2_3184;chr12_3116
chr2_3195;chr12_57
chr2_3196;chr12_57
chr2_3198;chr12_52
chr2_319;chr1_2315
chr2_3205;chr12_53
chr2_3208;chr12_2406
chr2_3209;chr12_3119
chr2_3209;chr12_3120
chr2_3210;chr12_88
chr2_3220;chr12_2036
chr2_3223;chr12_1994
chr2_3225;chr12_3800
chr2_3229;chr12_9
chr2_322;chr1_513
chr2_3231;chr5_282
chr2_3231;chr5_283
chr2_3236;chr5_6219
chr2_3243;chr5_369
chr2_3244;chr5_5052
chr2_3245;chr5_5052
chr2_3248;chr17_2573
chr2_3249;chr17_2573
chr2_3254;chr17_1220
chr2_3254;chr17_1231
chr2_3255;chr17_1904
chr2_325;chr1_5597
chr2_3262;chr17_3194
chr2_326;chr1_556
chr2_3271;chr17_2171
chr2_3273;chr17_1263
chr2_3281;chr17_4592
chr2_3286;chr17_1310
chr2_3287;chr17_1314
chr2_3295;chr17_1360
chr2_3297;chr17_4594
chr2_3298;chr17_1697
chr2_329;chr1_569
chr2_3300;chr17_3610
chr2_3301;chr17_1362
chr2_3302;chr17_1365
chr2_3305;chr17_1924
chr2_3307;chr17_1925
chr2_330;chr5_5339
chr2_330;chr5_5340
chr2_3311;chr17_3611
chr2_3313;chr17_1376
chr2_331;chr1_2337
chr2_3320;chr17_1382
chr2_3320;chr17_1383
chr2_3321;chr17_1369
chr2_3322;chr17_3612
chr2_3333;chr17_1358
chr2_333;chr1_3711
chr2_334;chr1_584
chr2_3350;chr17_2815
chr2_3351;chr17_3499
chr2_3352;chr17_4233
chr2_3356;chr17_2819
chr2_3357;chr17_1459
chr2_335;chr1_3716
chr2_3365;chr11_2885
chr2_3365;chr11_2889
chr2_3372;chr11_366
chr2_3374;chr11_370
chr2_3377;chr11_369
chr2_3388;chr11_320
chr2_3388;chr11_323
chr2_3392;chr11_301
chr2_3393;chr11_4436
chr2_3395;chr11_289
chr2_3396;chr11_278
chr2_33;chr2_6150
chr2_3400;chr11_2868
chr2_3400;chr11_5355
chr2_3401;chr11_270
chr2_3407;chr11_263
chr2_3409;chr11_238
chr2_3418;chr11_233
chr2_341;chr1_648
chr2_3423;chr6_1132
chr2_342;chr1_671
chr2_3431;chr6_2776
chr2_3436;chr6_1079
chr2_3438;chr6_1078
chr2_3439;chr6_2464
chr2_3445;chr6_997
chr2_344;chr1_6177
chr2_3451;chr6_971
chr2_3453;chr6_4447
chr2_3457;chr6_2760
chr2_3459;chr6_4748
chr2_345;chr1_683
chr2_3460;chr6_928
chr2_3470;chr6_869
chr2_3473;chr6_863
chr2_3478;chr2_5182
chr2_347;chr1_2355
chr2_3480;chr2_3385
chr2_3481;chr2_1903
chr2_3481;chr2_1904
chr2_3482;chr2_1901
chr2_348;chr1_2355
chr2_3496;chr1_5121
chr2_349;chr1_2366
chr2_3503;chr1_2744
chr2_3504;chr1_156
chr2_3505;chr1_6083
chr2_3506;chr1_3335
chr2_3512;chr1_3659
chr2_3518;chr1_3656
chr2_3518;chr1_3659
chr2_3519;chr1_2770
chr2_3522;chr1_4639
chr2_3526;chr1_7142
chr2_3528;chr1_2273
chr2_3529;chr1_2273
chr2_352;chr1_4726
chr2_3532;chr1_4096
chr2_3533;chr1_211
chr2_3534;chr1_210
chr2_3535;chr1_3529
chr2_3539;chr1_224
chr2_3540;chr1_228
chr2_3546;chr1_254
chr2_3548;chr1_3349
chr2_3549;chr1_2787
chr2_354;chr1_2367
chr2_3550;chr1_268
chr2_3555;chr10_4623
chr2_3559;chr10_2620
chr2_356;chr1_6186
chr2_3573;chr2_1901
chr2_3574;chr2_1923
chr2_3576;chr2_3385
chr2_3578;chr2_1911
chr2_3579;chr2_1911
chr2_357;chr1_730
chr2_3581;chr2_6439
chr2_3585;chr2_3729
chr2_3591;chr2_1928
chr2_3595;chr2_1934
chr2_3595;chr3_1991
chr2_3597;chr2_1937
chr2_3612;chr19_1392
chr2_3613;chr1_6287
chr2_3614;chr1_1148
chr2_3622;chr1_5819
chr2_3625;chr1_2431
